Date,Stock_Rolling_Vol_Pct,Bond_Rolling_Vol_Pct,Strategy_Rolling_Vol_Pct,Stock_Rolling_Return_Pct,Bond_Rolling_Return_Pct,Strategy_Rolling_Return_Pct,Stock_Sharpe_Unadj,Bond_Sharpe_Unadj,Strategy_Sharpe_Unadj,Stock_Sharpe_TreasuryAdj,Bond_Sharpe_TreasuryAdj,Strategy_Sharpe_TreasuryAdj
2015-02-13,11.384572345344852,5.31852629527594,9.448855796057531,16.302821501790433,7.406601619986675,5.176224336600144,1.3837395003543342,1.3701267897464686,0.5813502259061797,1.3820099249673752,1.3664245468644407,0.5792663253213303
2015-02-17,11.3753089063953,5.368654467626281,9.436091832829531,15.875298390385773,6.718263728868634,4.789602016577854,1.352379704503481,1.2380429369747545,0.5429736156592743,1.3506494183393,1.23437674095996,0.5408877373144343
2015-02-18,11.375041698857977,5.383308473210533,9.435217280458193,15.727759365013227,6.967231287690545,4.656177930810768,1.3412014473809095,1.278115787198632,0.5295092041570459,1.339471818283334,1.2744610452854779,0.5274239736293687
2015-02-19,11.351013285512577,5.385963068085573,9.408926650621659,16.44964809679572,6.906522598314613,5.3090041496389295,1.3986169023774326,1.2669689957392256,0.5968301434845777,1.396894798941926,1.2633396320157175,0.594752582493689
2015-02-20,11.352911635896833,5.384907624514307,9.411394709800055,16.497091342245707,6.9619233032131245,5.35190853804719,1.4019919968048273,1.2768304171801865,0.60102709864749,1.4002806674135504,1.2732224497434508,0.5989627317860253
2015-02-23,11.35272060300146,5.40132378392504,9.411258239766445,16.522307971932925,7.316322313251389,5.374712713102769,1.4039213378981765,1.3343709340415588,0.6033347035846104,1.4022169705527252,1.330788625879368,0.6012787397820201
2015-02-24,11.347590344201311,5.436908576076779,9.404285004703327,16.31311984203132,8.134040850524515,5.185537442933197,1.3886603156743553,1.4656475445227546,0.5846016352620099,1.3869604232847998,1.4620996308148104,0.5825504764066314
2015-02-25,11.34845226665985,5.42822730476428,9.405009362820122,16.228615437090554,7.86355853817311,5.109117506282623,1.3821551394415954,1.421752486094988,0.5768344738938673,1.380464117999377,1.4182171742811165,0.5747940212607444
2015-02-26,11.34964281301887,5.457440124538369,9.405953194041409,16.096843436055597,6.909752937368463,4.989952026346933,1.37202102015969,1.2516358744523317,0.5647232559937576,1.3703396162969632,1.2481391190448696,0.5626943990695629
2015-02-27,11.346073060627958,5.466511113194913,9.397728056103682,15.056812419851395,7.162956892765804,4.049419938949117,1.2930592119812752,1.2929351273075134,0.4693641130305339,1.291386722274153,1.2894637741871746,0.46734488132933244
2015-03-02,11.36071072713639,5.519440092521933,9.417280088234294,15.555269685823102,6.469143399402788,4.500190200160903,1.3296120947289811,1.163349522043124,0.5144957296394879,1.327955033194252,1.1599387781202701,0.5124967026830057
2015-03-03,11.346596398429805,5.5045085653434125,9.401373601836301,15.856415229276543,5.716726215599421,4.772525392267624,1.3540764436431663,1.037484610494491,0.5428962955307907,1.3524278127698648,1.0340862418831456,0.540906549146742
