Scaling,Scaling_Label,Lookback_Days,Lookback_Label,Percentile_Cutoff,Percentile_Label,Annual_Return_Pct,Annual_Volatility_Pct,Sharpe_Ratio,Max_Drawdown_Pct
sigmoid,Sigmoid,63,3mo,0.95,95%,25.876583452493218,14.807820608091252,1.3636680177195606,-25.384613844710646
sigmoid,Sigmoid,126,6mo,0.6,60%,29.000917439359664,11.935658526334642,1.8655606223130066,-25.119169104462717
sigmoid,Sigmoid,126,6mo,0.65,65%,28.526432204354734,12.168007931208672,1.8019252022266052,-25.268774549125283
sigmoid,Sigmoid,126,6mo,0.7,70%,28.348600386649746,12.416193718155354,1.7572046570169557,-25.338928778576282
sigmoid,Sigmoid,126,6mo,0.75,75%,27.897630480133362,12.667648218119748,1.6970011975254395,-25.384613844710607
sigmoid,Sigmoid,126,6mo,0.8,80%,27.089258947496496,13.038069179602028,1.6037589345720287,-25.3846138447106
sigmoid,Sigmoid,126,6mo,0.85,85%,26.014302749920205,13.410166918491528,1.4995259654268414,-25.3846138447106
sigmoid,Sigmoid,126,6mo,0.9,90%,24.822093438287496,13.82760044413045,1.3895914358859247,-25.38461384471059
sigmoid,Sigmoid,126,6mo,0.95,95%,22.788799015703788,14.588198540003273,1.211714243129185,-25.384613844710636
sigmoid,Sigmoid,189,9mo,0.6,60%,28.541397943396717,11.528072834405828,1.896377072288531,-21.6178961401183
sigmoid,Sigmoid,189,9mo,0.65,65%,27.827732124581807,11.791177357289373,1.8094089231300272,-23.210710523202838
sigmoid,Sigmoid,189,9mo,0.7,70%,27.224722686765613,12.046766543324967,1.7342651180112303,-24.202638893376296
sigmoid,Sigmoid,189,9mo,0.75,75%,26.680189432285385,12.328246572342545,1.662633257878549,-25.22458763973992
sigmoid,Sigmoid,189,9mo,0.8,80%,26.30845102987436,12.631701117196197,1.6024036641385364,-25.333448901520416
sigmoid,Sigmoid,189,9mo,0.85,85%,25.36789034932736,12.995047911735183,1.5036117640966502,-25.384613844710636
sigmoid,Sigmoid,189,9mo,0.9,90%,24.16315893259231,13.522692987366067,1.3786423017653933,-25.384613844710586
sigmoid,Sigmoid,189,9mo,0.95,95%,21.54277561124347,14.239846296796271,1.1663225296351105,-25.384613844710586
sigmoid,Sigmoid,252,1yr,0.6,60%,28.289417747996914,11.229918403855903,1.9262047220129497,-17.567794199223293
sigmoid,Sigmoid,252,1yr,0.65,65%,27.674310854956264,11.496548137788048,1.842327997065553,-19.72141261141231
sigmoid,Sigmoid,252,1yr,0.7,70%,27.038465598634875,11.779120260853515,1.7585033391420137,-21.439516098334163
sigmoid,Sigmoid,252,1yr,0.75,75%,26.17216610744397,12.081936235663907,1.6607420526719587,-23.52228396022197
sigmoid,Sigmoid,252,1yr,0.8,80%,25.47531492779891,12.423432016373608,1.5738461128647707,-25.065888128430608
sigmoid,Sigmoid,252,1yr,0.85,85%,24.929935032370487,12.807100694070067,1.4964330351524675,-25.332327065937694
sigmoid,Sigmoid,252,1yr,0.9,90%,23.909163285711,13.316727359279524,1.382499667098448,-25.384613844710568
sigmoid,Sigmoid,252,1yr,0.95,95%,20.952863138063282,14.060672137120358,1.1447563179880917,-25.384613844710636
sigmoid,Sigmoid,315,15mo,0.6,60%,28.423477049458555,10.970571941284815,1.9786659094178494,-12.81330939903513
sigmoid,Sigmoid,315,15mo,0.65,65%,28.306035156354948,11.278845837307202,1.9194791072024224,-14.838313513638077
sigmoid,Sigmoid,315,15mo,0.7,70%,27.4975462212808,11.604407189919913,1.8143143610139454,-18.96950781520462
sigmoid,Sigmoid,315,15mo,0.75,75%,26.530637109962353,11.943621977463328,1.7023356123132596,-20.71627070876352
sigmoid,Sigmoid,315,15mo,0.8,80%,25.22602930607598,12.311207408420355,1.5708842596381964,-23.4748683207541
sigmoid,Sigmoid,315,15mo,0.85,85%,23.83251782704534,12.700515189737056,1.43839360463208,-25.21552386328651
sigmoid,Sigmoid,315,15mo,0.9,90%,22.841805406888227,13.179856923313729,1.3297976862355365,-25.38461384471064
sigmoid,Sigmoid,315,15mo,0.95,95%,20.510239571548784,14.044840023852299,1.119757760199588,-25.384613844710646
sigmoid,Sigmoid,378,18mo,0.6,60%,28.24212845769962,10.949433709183248,1.9693470095455958,-12.097045302584796
sigmoid,Sigmoid,378,18mo,0.65,65%,27.665406440185556,11.219777513019032,1.884352036119278,-12.678103239991442
sigmoid,Sigmoid,378,18mo,0.7,70%,26.74803825799743,11.546233138341208,1.77175661529363,-14.418034920791579
sigmoid,Sigmoid,378,18mo,0.75,75%,25.6186690693329,11.939657395117681,1.642222334328458,-19.00132505492107
sigmoid,Sigmoid,378,18mo,0.8,80%,24.612025819082394,12.308125174935471,1.5312743057722356,-21.346084780669322
sigmoid,Sigmoid,378,18mo,0.85,85%,23.653266329047963,12.6741402527174,1.4296798291416057,-24.12616516665208
sigmoid,Sigmoid,378,18mo,0.9,90%,22.485884039497762,13.162981187349763,1.3092712759754808,-25.331016334517297
sigmoid,Sigmoid,378,18mo,0.95,95%,20.23958667584782,13.996692323864096,1.1070414551882428,-25.384613844710618
exponential,Exp,63,3mo,0.6,60%,40.90570004045215,12.050797950426457,2.5821446982222405,-21.177012522899936
exponential,Exp,63,3mo,0.65,65%,40.90598115389024,12.333263759797214,2.5258180397193013,-21.611416514229806
exponential,Exp,63,3mo,0.7,70%,41.30329427661188,12.72307576040738,2.47439818597371,-23.83753112246217
exponential,Exp,63,3mo,0.75,75%,42.33955378307108,13.204793209679627,2.44424704611051,-26.27851089020098
exponential,Exp,63,3mo,0.8,80%,41.346772386025286,13.65481800145906,2.3168350079066946,-27.13166460165078
exponential,Exp,63,3mo,0.85,85%,39.82082832777984,14.25126862329907,2.1495245052549845,-27.131664601650858
exponential,Exp,63,3mo,0.9,90%,38.92120153438579,14.991749258565642,2.0072810816009246,-27.13166460165085
exponential,Exp,63,3mo,0.95,95%,34.939431290944746,15.627325714742145,1.7455256301563409,-27.131664601650808
exponential,Exp,126,6mo,0.6,60%,35.26054702186101,11.72488137219022,2.3014860612716976,-24.93184667216975
exponential,Exp,126,6mo,0.65,65%,34.999632970502546,12.095728084556361,2.2185966726875623,-25.95732136104768
exponential,Exp,126,6mo,0.7,70%,34.68210075018625,12.462007968983487,2.1380908219866277,-26.575877292721934
exponential,Exp,126,6mo,0.75,75%,34.89344871032005,12.858031006999537,2.0883517992726577,-27.131664601650808
exponential,Exp,126,6mo,0.8,80%,35.35715030968134,13.243260394159087,2.057342370832924,-27.131664601650797
exponential,Exp,126,6mo,0.85,85%,35.09796250376209,13.738432546500261,1.9740521210379325,-27.13166460165084
exponential,Exp,126,6mo,0.9,90%,33.70975488750556,14.418095807382226,1.8159183192614594,-27.131664601650808
exponential,Exp,126,6mo,0.95,95%,29.233719087641987,15.503464971713488,1.479314623239558,-27.13166460165078
exponential,Exp,189,9mo,0.6,60%,34.13390138858854,11.078949848622221,2.353413709907462,-12.85321095056607
exponential,Exp,189,9mo,0.65,65%,34.155085901272656,11.48857743428745,2.2749094695032523,-13.612009317253241
exponential,Exp,189,9mo,0.7,70%,33.7448253988363,11.991722605668325,2.1588262856329417,-18.527131762822677
exponential,Exp,189,9mo,0.75,75%,33.35302751634806,12.514258162791084,2.0503480093169455,-25.663512981190113
exponential,Exp,189,9mo,0.8,80%,33.16251087421349,12.937164672930312,1.9764310979845694,-26.518787612970378
exponential,Exp,189,9mo,0.85,85%,32.13917219229319,13.470756136516254,1.8460528117088844,-27.131664601650783
exponential,Exp,189,9mo,0.9,90%,31.621268247913115,14.046356608879233,1.7480229220390775,-27.1316646016508
exponential,Exp,189,9mo,0.95,95%,27.380056814525624,15.077064384164496,1.4211031429644039,-27.1316646016508
exponential,Exp,252,1yr,0.6,60%,33.16769979024174,10.778069386598546,2.3489371463529736,-10.277431835782991
exponential,Exp,252,1yr,0.65,65%,33.03441812066828,11.14430010774429,2.2663479579967847,-12.34741467865409
exponential,Exp,252,1yr,0.7,70%,33.01938682274768,11.555750883770537,2.188707962354461,-13.238868524278393
exponential,Exp,252,1yr,0.75,75%,32.69696381172271,12.06098521812808,2.0818313343903134,-14.412955615912226
exponential,Exp,252,1yr,0.8,80%,31.447215370530724,12.702110184264967,1.908449801234432,-24.628808529906237
exponential,Exp,252,1yr,0.85,85%,30.713059971684697,13.241349202112934,1.7936689493272893,-26.507316204369946
exponential,Exp,252,1yr,0.9,90%,29.889317316969645,13.848702674925303,1.6752634786953509,-27.131664601650858
exponential,Exp,252,1yr,0.95,95%,27.087062154117426,14.832064057186544,1.4264817300980739,-27.131664601650808
exponential,Exp,315,15mo,0.6,60%,31.559056739779614,10.437305866135805,2.3056682819763457,-8.727354975955219
exponential,Exp,315,15mo,0.65,65%,32.436198598588994,10.895922221348691,2.274130654185859,-9.583230798354693
exponential,Exp,315,15mo,0.7,70%,32.49226066739688,11.360452765837143,2.1893696195211003,-11.064516833305488
exponential,Exp,315,15mo,0.75,75%,32.08144426802573,11.842336590430069,2.0787336199039195,-12.944864120194477
exponential,Exp,315,15mo,0.8,80%,31.023269061661306,12.444363411583819,1.9193510163949623,-14.307523561208264
exponential,Exp,315,15mo,0.85,85%,29.517343568229435,13.148308953686257,1.7354523200961423,-25.610015002577274
exponential,Exp,315,15mo,0.9,90%,28.043397696540453,13.809609466171274,1.5758678430867108,-27.131664601650833
exponential,Exp,315,15mo,0.95,95%,25.848980631899465,14.840074893816727,1.3597521420405216,-27.131664601650808
exponential,Exp,378,18mo,0.6,60%,31.183852135410017,10.357284256980726,2.295053019617088,-9.974325145444038
exponential,Exp,378,18mo,0.65,65%,31.107187990328413,10.781558743866526,2.203464443093526,-9.974325145443967
exponential,Exp,378,18mo,0.7,70%,31.260820460527007,11.258518943524336,2.125179891797583,-9.974325145444007
exponential,Exp,378,18mo,0.75,75%,30.489689874711058,11.80985294674734,1.9813640812285656,-12.071218264461567
exponential,Exp,378,18mo,0.8,80%,30.079808193456394,12.320302141130677,1.8787125055271607,-13.62435000794347
exponential,Exp,378,18mo,0.85,85%,29.18164109521959,13.013993207464782,1.7320455936035324,-18.225190156974516
exponential,Exp,378,18mo,0.9,90%,27.3866539650909,13.779643673659713,1.5416313672239854,-26.494004143317422
exponential,Exp,378,18mo,0.95,95%,25.171589477147926,14.723488065232809,1.3326880771355685,-27.131664601650808
power,Power,63,3mo,0.6,60%,31.56618206575299,14.166403250855481,1.7314708661112532,-26.89030270567121
power,Power,63,3mo,0.65,65%,30.996634697276804,14.384617660842707,1.67717860307964,-26.93662003989936
power,Power,63,3mo,0.7,70%,30.57178374302092,14.551995684524496,1.637213702465842,-27.036817021994818
power,Power,63,3mo,0.75,75%,30.133616020954413,14.778175132197136,1.5916424985350415,-27.123430593286923
power,Power,63,3mo,0.8,80%,29.596069333692476,15.031284039337454,1.539785418603763,-27.13166460165085
power,Power,63,3mo,0.85,85%,28.866083319339975,15.370735339247318,1.4722939131258694,-27.13166460165078
power,Power,63,3mo,0.9,90%,27.21892071173606,15.787270701331929,1.355862031901457,-27.13166460165078
power,Power,63,3mo,0.95,95%,25.588181150260315,16.392236329541745,1.2328084257374368,-27.1316646016508
power,Power,126,6mo,0.6,60%,29.86064507884589,13.537262017861979,1.7090286048941736,-27.06373802254506
power,Power,126,6mo,0.65,65%,29.32602490120115,13.740105725924185,1.655758005177467,-27.111945805752935
power,Power,126,6mo,0.7,70%,28.905506366843635,14.00094287021449,1.6042277702466348,-27.12802364525751
power,Power,126,6mo,0.75,75%,28.13268386988128,14.25422247302293,1.5360024049991117,-27.131664601650797
power,Power,126,6mo,0.8,80%,26.668009939914363,14.64254445902913,1.4205102978012452,-27.422121466409944
power,Power,126,6mo,0.85,85%,25.385722857758864,14.971914112529221,1.3245086100659276,-29.437971488260185
power,Power,126,6mo,0.9,90%,24.758506725104823,15.370685045168509,1.2614392325973733,-28.096413317956447
power,Power,126,6mo,0.95,95%,23.15508547321341,16.04758785299751,1.1339942231448716,-27.131664601650822
power,Power,189,9mo,0.6,60%,29.612598698003968,13.184540129098766,1.7366522593505478,-25.540551687768808
power,Power,189,9mo,0.65,65%,28.744825521274485,13.396443589469264,1.6611001109123302,-26.38350595689879
power,Power,189,9mo,0.7,70%,28.051244454032,13.600754199820264,1.5984239393079969,-26.761368991323963
power,Power,189,9mo,0.75,75%,27.399993899020192,13.837617837977708,1.5365332291977412,-27.09744794739945
power,Power,189,9mo,0.8,80%,26.932397767872708,14.149139296517923,1.479785420988957,-27.12716338410994
power,Power,189,9mo,0.85,85%,25.47531636056455,14.54530317516437,1.3639283773420718,-27.131664601650847
power,Power,189,9mo,0.9,90%,23.700270336808682,15.048883321559318,1.2284998588863252,-27.52459678964029
power,Power,189,9mo,0.95,95%,21.939247936153805,15.755246206747517,1.089233859421039,-27.13166460165083
