Scaling,Scaling_Label,Lookback_Days,Lookback_Label,Percentile_Cutoff,Percentile_Label,Annual_Return_Pct,Annual_Volatility_Pct,Sharpe_Ratio,Max_Drawdown_Pct
power,Power,63,3mo,0.65,65%,29.565580638939835,14.375697951035313,1.7367367634606623,-26.943673447009235
power,Power,63,3mo,0.7,70%,29.21070252887228,14.542020343952125,1.6996559415214039,-27.04015915285981
power,Power,63,3mo,0.75,75%,28.866510347621933,14.7669915351689,1.657925128465239,-27.123759649701874
power,Power,63,3mo,0.8,80%,28.407312354195557,15.018324240018666,1.6088803189577217,-27.1316995915089
power,Power,63,3mo,0.85,85%,27.797011467075492,15.356643457648248,1.5456718116261519,-27.131699591508934
power,Power,63,3mo,0.9,90%,26.30018508322096,15.771601214034664,1.4341972506119978,-27.13169959150892
power,Power,63,3mo,0.95,95%,24.88451222966368,16.37603008180562,1.3181265290384911,-27.1316995915089
power,Power,126,6mo,0.6,60%,28.560029744890247,13.52957116022037,1.7789921656173893,-27.06641673635287
power,Power,126,6mo,0.65,65%,28.102643499449243,13.73256119524939,1.7287324905427348,-27.112714971966124
power,Power,126,6mo,0.7,70%,27.745817239659566,13.992936476728811,1.6792093459050847,-27.12819418238461
power,Power,126,6mo,0.75,75%,27.057318281993403,14.246029627022672,1.6139119103418658,-27.131699591508895
power,Power,126,6mo,0.8,80%,25.72419398440251,14.634783301611076,1.5027390634055575,-28.023132597946837
power,Power,126,6mo,0.85,85%,24.570961448605,14.963629676143475,1.4113415441286234,-30.066811328181757
power,Power,126,6mo,0.9,90%,24.067133767162762,15.358561988791184,1.352551146244418,-28.827008517637058
power,Power,126,6mo,0.95,95%,22.665207128594812,16.03353730899643,1.2310995927682122,-27.13169959150889
power,Power,189,9mo,0.6,60%,28.35202875425957,13.176640021872398,1.810757683950354,-25.599726596913875
power,Power,189,9mo,0.65,65%,27.572238863482124,13.388586912133743,1.7386464927938767,-26.415318938687115
power,Power,189,9mo,0.7,70%,26.972731015746287,13.592747354248322,1.6798768240454975,-26.77751851764742
power,Power,189,9mo,0.75,75%,26.412962085379665,13.829889901925633,1.6214503028868834,-27.09875702064528
power,Power,189,9mo,0.8,80%,26.020763271071722,14.140140797190378,1.566960736467271,-27.127365948374315
power,Power,189,9mo,0.85,85%,24.69745158325285,14.536688126606345,1.4554336704628967,-27.13169959150888
power,Power,189,9mo,0.9,90%,23.052512807375525,15.04001907207366,1.3233268862626488,-28.213252075895944
power,Power,189,9mo,0.95,95%,21.492359162237108,15.743994640637048,1.1899173536203689,-27.131699591508912
power,Power,252,1yr,0.6,60%,28.318134532619865,12.910679642660503,1.8433057123957513,-22.86865277651053
power,Power,252,1yr,0.65,65%,27.620640545405717,13.127273129350153,1.773489151054294,-24.269606632209424
power,Power,252,1yr,0.7,70%,26.983187224360748,13.36963636761785,1.7062629463977284,-25.50027166927264
power,Power,252,1yr,0.75,75%,26.18771716410384,13.616652738159733,1.6315769745700517,-26.53314496991123
power,Power,252,1yr,0.8,80%,25.575876207636973,13.902317482313444,1.5658889812842223,-27.047110315797052
power,Power,252,1yr,0.85,85%,24.985589168251842,14.293240173875049,1.4939362610052764,-27.127187098313026
power,Power,252,1yr,0.9,90%,23.301415208465336,14.829414584305272,1.353621610146433,-27.1316995915089
power,Power,252,1yr,0.95,95%,20.514753004217546,15.554097167003448,1.15059343529238,-27.13169959150888
power,Power,315,15mo,0.6,60%,28.954500836677035,12.706554644138166,1.909830987973759,-19.573753278428217
power,Power,315,15mo,0.65,65%,28.54066925357024,12.964699772239996,1.8495258945110786,-21.119473943731347
power,Power,315,15mo,0.7,70%,27.652922969264626,13.231324211493444,1.7624771350256034,-23.715357033004832
power,Power,315,15mo,0.75,75%,26.728144331392944,13.512812594909118,1.6747011790487982,-25.028441880812878
power,Power,315,15mo,0.8,80%,25.240728322658423,13.813319246033725,1.5557096067352039,-26.511713706244695
power,Power,315,15mo,0.85,85%,23.865582219945857,14.158817355163148,1.4431296649136394,-27.095593140462103
power,Power,315,15mo,0.9,90%,22.719929340434074,14.663300930869402,1.3350314786346296,-27.13169959150889
power,Power,315,15mo,0.95,95%,20.193554973028416,15.550528841028937,1.133656382306723,-27.131699591508884
power,Power,378,18mo,0.6,60%,28.744724928298115,12.729312295602577,1.8938342491216793,-18.965984173742516
power,Power,378,18mo,0.65,65%,27.979517208922555,12.947888085843468,1.817943921205203,-19.470003017832617
power,Power,378,18mo,0.7,70%,26.791686168901418,13.237653641381787,1.7105028895755485,-20.835636796934065
power,Power,378,18mo,0.75,75%,25.830313171837105,13.556429741619125,1.617253565991023,-23.773498499246738
power,Power,378,18mo,0.8,80%,24.66531701224848,13.861736951550563,1.5175080837388923,-25.447273262326053
power,Power,378,18mo,0.85,85%,23.680417205768766,14.159713230068554,1.4324702872874482,-26.74330047737414
power,Power,378,18mo,0.9,90%,22.422085043270144,14.646472056509849,1.3197933010911622,-27.126974214734567
power,Power,378,18mo,0.95,95%,19.841937217749717,15.511767748421827,1.1171875324999458,-27.13169959150892
